ID,description,suggestedValue
110f8801-eea1-420d-98e6-dd439569747b,Esponja Multiuso,1181.75
05767575-2944-4457-9aa7-06e1dae2ae25,Pano de Limpeza,3728.99
d5b6a98e-464a-4e85-ad1c-7fd6be7df835,Saco de Lixo 30L,4969.32
aa51a37d-2867-459b-8885-b5c8b161616a,Saco de Lixo 100L,1135.94
ebfe58ef-0dee-41d8-859e-ae2bff66e7fc,Ventilador de Mesa,4970.58
fe53d2be-049c-47fa-871a-c4a8b1a10e40,Ar Condicionado Split,4670.34
28d388a1-0e70-41d0-a8a1-abb9e3263b7b,HDMI Switch,3726.36
84aadcf6-499b-4416-9a35-3e546eb39a5c,Adaptador VGA para HDMI,3327.07
e069016d-d217-4fbc-b438-1e8790b731fb,Bateria AA,3517.79
a9da22e7-f42f-4428-9083-96395b7a7e9a,Bateria AAA,2597.69
2c7b9d8a-6b92-4a21-a03e-024e434a203d,Pilhas Recarregáveis,772.18
834a14f7-cbd7-4220-9587-cd61c93c8253,Carregador de Pilhas,3830.74
ce1eeb99-74a8-4547-b95c-345102c07d21,Lampada LED 9W,2488.23
2c6e3cb9-21cb-4de6-ae38-f117a3cbdfe2,Luminária de Mesa,2053.34
9ec93c76-9578-4947-a5ca-def516b026cb,Cabo USB-C,2308.5
a1a6e723-19c6-46fd-a584-917efe27f127,Cabo Micro USB,2557.27
